Source,Target,Weight,Type
0,2.0,6,Directed
0,4.0,1,Directed
0,7.0,3,Directed
0,10.0,5,Directed
0,11.0,1,Directed
0,13.0,19,Directed
0,14.0,10,Directed
0,18.0,3,Directed
0,19.0,2,Directed
0,20.0,4,Directed
0,21.0,1,Directed
0,23.0,3,Directed
0,27.0,12,Directed
0,29.0,2,Directed
0,30.0,2,Directed
0,32.0,2,Directed
0,34.0,16,Directed
0,36.0,1,Directed
0,40.0,5,Directed
0,42.0,3,Directed
0,44.0,7,Directed
0,46.0,1,Directed
0,50.0,1,Directed
0,53.0,19,Directed
0,58.0,5,Directed
0,60.0,6,Directed
0,62.0,24,Directed
0,63.0,2,Directed
0,66.0,15,Directed
0,67.0,7,Directed
0,68.0,10,Directed
0,69.0,13,Directed
0,77.0,9,Directed
0,92.0,82,Directed
0,95.0,5,Directed
0,96.0,4,Directed
0,100.0,4,Directed
0,105.0,11,Directed
0,112.0,7,Directed
0,116.0,18,Directed
0,121.0,1,Directed
0,122.0,1,Directed
0,125.0,1,Directed
0,133.0,2,Directed
0,135.0,12,Directed
0,137.0,4,Directed
0,147.0,4,Directed
0,153.0,1,Directed
0,154.0,1,Directed
0,156.0,1,Directed
0,165.0,2,Directed
0,171.0,3,Directed
0,173.0,10,Directed
0,177.0,2,Directed
0,178.0,3,Directed
0,187.0,2,Directed
0,189.0,1,Directed
0,195.0,1,Directed
1,3.0,11,Directed
1,4.0,3,Directed
1,5.0,21,Directed
1,6.0,6,Directed
1,7.0,18,Directed
1,8.0,78,Directed
1,9.0,3,Directed
1,10.0,1,Directed
1,11.0,10,Directed
1,12.0,30,Directed
1,13.0,5,Directed
1,14.0,14,Directed
1,16.0,5,Directed
1,17.0,1,Directed
1,18.0,45,Directed
1,19.0,75,Directed
1,20.0,46,Directed
1,22.0,1,Directed
1,23.0,1,Directed
1,24.0,3,Directed
1,25.0,3,Directed
1,26.0,7,Directed
1,27.0,10,Directed
1,28.0,16,Directed
1,29.0,58,Directed
1,30.0,4,Directed
1,31.0,13,Directed
1,32.0,33,Directed
1,33.0,3,Directed
1,34.0,8,Directed
1,35.0,1,Directed
1,36.0,1,Directed
1,37.0,18,Directed
1,38.0,41,Directed
1,39.0,78,Directed
1,40.0,67,Directed
1,41.0,9,Directed
1,42.0,11,Directed
1,44.0,1,Directed
1,45.0,29,Directed
1,47.0,4,Directed
1,48.0,2,Directed
1,49.0,18,Directed
1,50.0,10,Directed
1,51.0,5,Directed
1,52.0,1,Directed
1,53.0,8,Directed
1,55.0,19,Directed
1,58.0,15,Directed
1,59.0,67,Directed
1,60.0,29,Directed
1,62.0,1,Directed
1,63.0,8,Directed
1,64.0,24,Directed
1,65.0,1,Directed
1,66.0,36,Directed
1,67.0,11,Directed
1,68.0,1,Directed
1,70.0,3,Directed
1,71.0,7,Directed
1,72.0,23,Directed
1,75.0,38,Directed
1,76.0,2,Directed
1,77.0,2,Directed
1,78.0,2,Directed
1,79.0,27,Directed
1,80.0,5,Directed
1,81.0,5,Directed
1,83.0,45,Directed
1,84.0,29,Directed
1,85.0,19,Directed
1,86.0,5,Directed
1,88.0,31,Directed
1,91.0,23,Directed
1,92.0,13,Directed
1,93.0,1,Directed
1,94.0,1,Directed
1,96.0,1,Directed
1,97.0,6,Directed
1,98.0,2,Directed
1,99.0,24,Directed
1,103.0,2,Directed
1,105.0,2,Directed
1,106.0,29,Directed
1,110.0,1,Directed
1,112.0,8,Directed
1,113.0,2,Directed
1,114.0,3,Directed
1,116.0,3,Directed
1,117.0,27,Directed
1,123.0,5,Directed
1,125.0,1,Directed
1,126.0,9,Directed
1,131.0,1,Directed
1,133.0,6,Directed
1,137.0,8,Directed
1,140.0,1,Directed
1,142.0,18,Directed
1,144.0,1,Directed
1,145.0,3,Directed
1,146.0,2,Directed
1,149.0,12,Directed
1,153.0,12,Directed
1,155.0,7,Directed
1,158.0,15,Directed
1,159.0,29,Directed
1,161.0,1,Directed
1,163.0,40,Directed
1,165.0,29,Directed
1,166.0,6,Directed
1,168.0,50,Directed
1,169.0,17,Directed
1,171.0,1,Directed
1,175.0,5,Directed
1,176.0,2,Directed
1,178.0,10,Directed
1,187.0,1,Directed
1,188.0,2,Directed
2,0.0,9,Directed
2,1.0,2,Directed
2,4.0,25,Directed
2,5.0,1,Directed
2,6.0,9,Directed
2,7.0,7,Directed
2,8.0,5,Directed
2,10.0,6,Directed
2,11.0,1,Directed
2,13.0,42,Directed
2,14.0,1,Directed
2,16.0,1,Directed
2,18.0,13,Directed
2,19.0,12,Directed
2,20.0,8,Directed
2,21.0,18,Directed
2,23.0,6,Directed
2,24.0,6,Directed
2,26.0,5,Directed
2,30.0,13,Directed
2,34.0,22,Directed
2,36.0,42,Directed
2,39.0,1,Directed
2,40.0,14,Directed
2,44.0,95,Directed
2,46.0,29,Directed
2,47.0,1,Directed
2,48.0,9,Directed
2,52.0,2,Directed
2,53.0,52,Directed
2,54.0,3,Directed
2,56.0,2,Directed
2,58.0,13,Directed
2,59.0,2,Directed
2,60.0,5,Directed
2,61.0,6,Directed
2,62.0,79,Directed
2,63.0,14,Directed
2,64.0,1,Directed
2,65.0,14,Directed
2,66.0,23,Directed
2,67.0,1,Directed
2,68.0,14,Directed
2,69.0,45,Directed
2,74.0,2,Directed
2,75.0,1,Directed
2,77.0,21,Directed
2,82.0,3,Directed
2,85.0,17,Directed
2,86.0,12,Directed
2,91.0,1,Directed
2,92.0,63,Directed
2,93.0,4,Directed
2,95.0,29,Directed
2,96.0,9,Directed
2,97.0,1,Directed
2,100.0,7,Directed
2,101.0,5,Directed
2,105.0,14,Directed
2,107.0,1,Directed
2,110.0,2,Directed
2,112.0,2,Directed
2,114.0,5,Directed
2,115.0,2,Directed
2,116.0,4,Directed
2,118.0,2,Directed
2,119.0,2,Directed
2,121.0,2,Directed
2,122.0,14,Directed
2,124.0,1,Directed
2,126.0,1,Directed
2,129.0,9,Directed
2,131.0,1,Directed
2,133.0,1,Directed
2,135.0,6,Directed
2,136.0,1,Directed
2,137.0,56,Directed
2,148.0,1,Directed
2,151.0,11,Directed
2,152.0,17,Directed
2,153.0,2,Directed
2,154.0,3,Directed
2,156.0,2,Directed
2,163.0,1,Directed
2,164.0,2,Directed
2,169.0,2,Directed
2,171.0,5,Directed
2,172.0,3,Directed
2,173.0,13,Directed
2,177.0,1,Directed
2,178.0,1,Directed
2,187.0,9,Directed
2,196.0,1,Directed
3,1.0,24,Directed
3,5.0,44,Directed
3,8.0,4,Directed
3,12.0,9,Directed
3,15.0,14,Directed
3,25.0,1,Directed
3,28.0,28,Directed
3,29.0,12,Directed
3,31.0,1,Directed
3,32.0,2,Directed
3,36.0,1,Directed
3,37.0,11,Directed
3,38.0,2,Directed
3,39.0,2,Directed
3,40.0,3,Directed
3,45.0,1,Directed
3,48.0,1,Directed
3,49.0,3,Directed
3,55.0,9,Directed
3,59.0,1,Directed
3,71.0,2,Directed
3,72.0,2,Directed
3,75.0,4,Directed
3,78.0,1,Directed
3,80.0,1,Directed
3,81.0,4,Directed
3,91.0,3,Directed
3,94.0,1,Directed
3,96.0,4,Directed
3,98.0,1,Directed
3,102.0,3,Directed
3,103.0,9,Directed
3,105.0,3,Directed
3,117.0,4,Directed
3,123.0,1,Directed
3,134.0,1,Directed
3,140.0,1,Directed
3,141.0,25,Directed
3,142.0,1,Directed
3,146.0,21,Directed
3,149.0,28,Directed
3,159.0,1,Directed
3,160.0,1,Directed
3,163.0,1,Directed
3,168.0,4,Directed
